iter	RMSE
0	21.62372187
1	20.96639988
2	20.35162002
3	19.78482928
4	19.25599115
5	18.76264965
6	18.29302284
7	17.84522764
8	17.45142874
9	17.06988675
10	16.69104518
11	16.37317242
12	16.06063112
13	15.78722472
14	15.5240015
15	15.26874833
16	15.0483494
17	14.81984456
18	14.62361195
19	14.4315047
20	14.2667927
21	14.11238457
22	13.97466501
23	13.84534479
24	13.73389387
25	13.63024644
26	13.52202308
27	13.40500741
28	13.30688648
29	13.21305448
30	13.12377266
31	13.04525062
32	12.98248828
33	12.91912779
34	12.83624548
35	12.74547613
36	12.66292087
37	12.5960378
38	12.52690075
39	12.46917341
40	12.41407805
41	12.3599796
42	12.29168147
43	12.2158047
44	12.15519579
45	12.09929939
46	12.04925042
47	11.99951943
48	11.95053734
49	11.91250381
50	11.86665342
51	11.82918353
52	11.79119962
53	11.75514907
54	11.71653435
55	11.68688059
56	11.65497163
57	11.63056305
58	11.58598513
59	11.55721118
60	11.53525021
61	11.5090411
62	11.46943503
63	11.43428489
64	11.40044324
65	11.37084164
66	11.34416661
67	11.31347303
68	11.28474434
69	11.25628127
70	11.22861762
71	11.20184696
72	11.18379205
73	11.1652416
74	11.14249732
75	11.11749084
76	11.09125969
77	11.07387055
78	11.0562917
79	11.03628404
80	11.01967449
81	11.00075491
82	10.98533654
83	10.9666384
84	10.9515416
85	10.9293499
86	10.91433992
87	10.90530857
88	10.89029087
89	10.87661573
90	10.86242057
91	10.85409579
92	10.84101855
93	10.82891553
94	10.81789879
95	10.80917835
96	10.78823123
97	10.76830759
98	10.75414721
99	10.74218001
100	10.7241261
101	10.71108976
102	10.69877476
103	10.69340813
104	10.68416404
105	10.67432419
106	10.65982493
107	10.65035728
108	10.64363825
109	10.63369647
110	10.62434106
111	10.61116832
112	10.60199574
113	10.59447576
114	10.58332494
115	10.57360981
116	10.56265425
117	10.55446142
118	10.54512748
119	10.53347505
120	10.52721642
121	10.51793916
122	10.51178489
123	10.50524018
124	10.49712012
125	10.48702764
126	10.47867235
127	10.46475091
128	10.45722888
129	10.44921968
130	10.44380726
131	10.43700643
132	10.42938996
133	10.42271927
134	10.41338216
135	10.40736752
136	10.39584686
137	10.38908339
138	10.37894112
139	10.37328631
140	10.36821161
141	10.36145484
142	10.35201174
143	10.34335244
144	10.3367385
145	10.32857789
146	10.31877741
147	10.31223028
148	10.30470229
149	10.29901362
150	10.29283643
151	10.28635719
152	10.27879391
153	10.27117925
154	10.26478687
155	10.25787605
156	10.25155807
157	10.24620987
158	10.23846388
159	10.23230251
160	10.22719897
161	10.2204333
162	10.21582744
163	10.20893147
164	10.19681639
165	10.19046019
166	10.18280779
167	10.17807585
168	10.17144352
169	10.1674352
170	10.16087255
171	10.15265757
172	10.13888794
173	10.12880619
174	10.12375096
175	10.11786435
176	10.11302674
177	10.10460542
178	10.10115991
179	10.09571783
180	10.08859521
181	10.08320692
182	10.07507477
183	10.06692543
184	10.0612744
185	10.05723587
186	10.05288588
187	10.04739715
188	10.04137611
189	10.03392223
190	10.02676235
191	10.02331805
192	10.01827039
193	10.01324379
194	10.00648707
195	10.00049671
196	9.996474166
197	9.990482113
198	9.98745803
199	9.980909434
200	9.977833388
201	9.973882053
202	9.969144913
203	9.965133689
204	9.961677624
205	9.956475072
206	9.954132547
207	9.948032434
208	9.944688194
209	9.935099241
210	9.930906321
211	9.92523553
212	9.920561941
213	9.914406709
214	9.908997178
215	9.90436761
216	9.898649133
217	9.892927559
218	9.889478138
219	9.88523131
220	9.878668062
221	9.873740167
222	9.867957858
223	9.864535137
224	9.860958252
225	9.857168036
226	9.85215477
227	9.847599717
228	9.843225214
229	9.837273823
230	9.831731351
231	9.827709365
232	9.819940005
233	9.813787457
234	9.809629082
235	9.806999462
236	9.802462808
237	9.796930129
238	9.792035326
239	9.787080349
240	9.78493095
241	9.780741676
242	9.776824752
243	9.768405228
244	9.76577923
245	9.762031335
246	9.757585093
247	9.753905094
248	9.749999149
249	9.746108953
250	9.741615275
251	9.737780338
252	9.732856289
253	9.727518628
